Date,Month,Day,Weekday,Heating perid or not,PM2.5 Grade
2018/9/2,9,2,7,0,1
2018/9/3,9,3,1,0,1
2018/9/4,9,4,2,0,1
2018/9/5,9,5,3,0,1
2018/9/6,9,6,4,0,1
2018/9/7,9,7,5,0,1
2018/9/8,9,8,6,0,1
2018/9/9,9,9,7,0,1
2018/9/10,9,10,1,0,1
2018/9/11,9,11,2,0,1
2018/9/12,9,12,3,0,1
2018/9/13,9,13,4,0,1
2018/9/14,9,14,5,0,1
2018/9/15,9,15,6,0,1
2018/9/16,9,16,7,0,1
2018/9/17,9,17,1,0,1
2018/9/18,9,18,2,0,1
2018/9/19,9,19,3,0,1
2018/9/20,9,20,4,0,1
2018/9/21,9,21,5,0,1
2018/9/22,9,22,6,0,1
2018/9/23,9,23,7,0,1
2018/9/24,9,24,1,0,1
2018/9/25,9,25,2,0,1
2018/9/26,9,26,3,0,1
2018/9/27,9,27,4,0,1
2018/9/28,9,28,5,0,1
2018/9/29,9,29,6,0,1
2018/9/30,9,30,7,0,1
2018/10/1,10,1,1,0,1
2018/10/2,10,2,2,0,1
2018/10/3,10,3,3,0,1
2018/10/4,10,4,4,0,1
2018/10/5,10,5,5,0,1
2018/10/6,10,6,6,0,1
2018/10/7,10,7,7,0,1
2018/10/8,10,8,1,0,1
2018/10/9,10,9,2,0,1
2018/10/10,10,10,3,0,1
2018/10/11,10,11,4,0,1
2018/10/12,10,12,5,0,2
2018/10/13,10,13,6,0,2
2018/10/14,10,14,7,0,2
2018/10/15,10,15,1,0,1
2018/10/16,10,16,2,0,2
2018/10/17,10,17,3,0,2
2018/10/18,10,18,4,0,2
2018/10/19,10,19,5,0,2
2018/10/20,10,20,6,0,1
2018/10/21,10,21,7,0,2
2018/10/22,10,22,1,0,1
2018/10/23,10,23,2,0,1
2018/10/24,10,24,3,0,1
2018/10/25,10,25,4,0,1
2018/10/26,10,26,5,0,1
2018/10/27,10,27,6,0,1
2018/10/28,10,28,7,0,1
2018/10/29,10,29,1,0,1
2018/10/30,10,30,2,0,1
2018/10/31,10,31,3,0,1
2018/11/1,11,1,4,0,1
2018/11/2,11,2,5,0,2
2018/11/3,11,3,6,0,2
2018/11/4,11,4,7,0,1
2018/11/5,11,5,1,0,1
2018/11/6,11,6,2,0,1
2018/11/7,11,7,3,0,1
2018/11/8,11,8,4,0,1
2018/11/9,11,9,5,0,2
2018/11/10,11,10,6,0,2
2018/11/11,11,11,7,0,1
2018/11/12,11,12,1,0,2
2018/11/13,11,13,2,0,3
2018/11/14,11,14,3,0,2
2018/11/15,11,15,4,1,1
2018/11/16,11,16,5,1,1
2018/11/17,11,17,6,1,1
2018/11/18,11,18,7,1,1
2018/11/19,11,19,1,1,1
2018/11/20,11,20,2,1,2
2018/11/21,11,21,3,1,1
2018/11/22,11,22,4,1,2
2018/11/23,11,23,5,1,2
2018/11/24,11,24,6,1,2
2018/11/25,11,25,7,1,2
2018/11/26,11,26,1,1,2
2018/11/27,11,27,2,1,2
2018/11/28,11,28,3,1,3
2018/11/29,11,29,4,1,3
2018/11/30,11,30,5,1,3
2018/12/1,12,1,6,1,2
2018/12/2,12,2,7,1,3
2018/12/3,12,3,1,1,4
2018/12/4,12,4,2,1,2
2018/12/5,12,5,3,1,2
2018/12/6,12,6,4,1,1
2018/12/7,12,7,5,1,1
2018/12/8,12,8,6,1,1
2018/12/9,12,9,7,1,2
2018/12/10,12,10,1,1,3
2018/12/11,12,11,2,1,1
2018/12/12,12,12,3,1,2
2018/12/13,12,13,4,1,2
2018/12/14,12,14,5,1,3
2018/12/15,12,15,6,1,3
2018/12/16,12,16,7,1,2
2018/12/17,12,17,1,1,2
2018/12/18,12,18,2,1,2
2018/12/19,12,19,3,1,3
2018/12/20,12,20,4,1,4
2018/12/21,12,21,5,1,2
2018/12/22,12,22,6,1,1
2018/12/23,12,23,7,1,1
2018/12/24,12,24,1,1,2
2018/12/25,12,25,2,1,2
2018/12/26,12,26,3,1,2
2018/12/27,12,27,4,1,2
2018/12/28,12,28,5,1,1
2018/12/29,12,29,6,1,1
2018/12/30,12,30,7,1,2
2018/12/31,12,31,1,1,3
